"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","period"
0.96,10.4544530771191,14.7473980210888,1760.839323718,440586.365061764,11097.7225622549,0.708901533827815,0.193842306274384,0,60,2940,0,0,777.864355616327,0,319.864355616327,42,-277.864355616327,0,839.728788063037,0,21,42,87.8067349898492,204.836439612794,10.0186632218817,8.01493057750535,119.4,67286.175553479,4562.57947722438,65525.336229761,0,0.374,0,1.02135496751393,1,0,0,1760.839323718,10.4544530771191,0,0.974196074477336,0.974196074477336,3000,0,0,15.9932177808164,0,0,1,0,1760.839323718,0,1
0.594666666666667,11.7959962460179,17.4881701660191,21420.9274405527,424814.121481205,23418.1258915428,0.67451289266035,0.205889951309931,242.562088276873,150,2850,90,0,4467.94102409523,0,3965.08897391956,275.012305440652,-3690.07666847891,0,1283.97168584542,0,61,275.012305440652,81.3949553615126,201.488443484464,11.4811922264584,9.1849537811667,1196.81130345139,79184.2199505205,4527.87336804292,57763.2925099678,0,0.469943350574833,6,0.958619269507896,1.02524503354586,2.52450335458592,2.52450335458592,20893.4710626858,11.505538539622,2.79660898271066,0.990852438551586,0.990337081591361,3000,0,0,213.448005587754,0.4,0,1,0,21420.9274405527,0,2
0.223,12.2444570810174,20.0290498693925,48825.2412522288,405715.872438066,38438.7773637613,0.611334894109422,0.205742766113049,5567.9857653101,195,2805,45,0,13732.5096687619,0,9433.96488997994,123.996876045751,-9264.56864466667,0,3884.54991721862,0,24,123.996876045751,79.2745560920478,193.894816590288,12.4509974942268,9.96079799538142,2303.86842759853,93133.7071586137,4649.93136299174,44308.4659063849,0,0.583050328762379,36,0.924357599226636,1.14936541130186,12.1064110231991,5.77982065216586,42480.1727737097,10.6532326104615,41.9265294887148,0.967922139898796,0.966733775220944,3000,0,45.3993692675228,674.473849807363,1.07692307692308,1,1,2,48870.6406214963,0.000928970209724515,3
0.0466666666666666,12.4824199126222,21.8448660129011,66686.4616508894,382389.509441442,53207.3025553909,0.571412061087961,0.203617511139392,10258.6203958187,240,2760,45,0,26614.1120439952,0,13188.6890441097,112.058977448041,-12881.6023752333,0,7144.76588853795,0,20,112.058977448041,76.2389315502099,183.02868891344,13.4651671097166,10.7721336877733,2769.67555615815,99996.2692782645,4577.56386416876,33309.8076273751,52.1064893058839,0.693428426288451,113,0.736154065453106,1.24908444560735,8.67600793663574,7.97043890119407,53388.273215158,9.99325542521887,139.021874362959,0.964865793271672,0.960556858528443,3000,0,195.027691428372,1300.18460952248,1.6875,2,1,13,66881.4893423178,0.00291601896647616,4
0.00966666666666671,12.8962977660082,22.5975210751889,72774.9510919209,360018.29059073,64495.1751443875,0.57069524232761,0.2076150190047,13560.5423122078,285,2715,45,0,40484.141708502,0,14326.3554173771,163.601780383057,-13870.0296645068,0,8723.54634941536,0,27,163.601780383057,71.051170700412,173.784868160043,14.5886263230034,11.6709010584027,2850.63330136785,101521.066769449,4492.57537725742,28746.1156775282,239.354047235668,0.803900680763793,191,0.546651556343932,1.31893550797916,5.59218094640854,10.1070015541379,55177.0353073782,9.77780770021695,213.029329411496,1.00147621024124,0.994381066474522,3000,0,292.723972487282,1951.49314991521,2.26315789473684,3,1,45,73067.6750644082,0.00400620345767468,5
0.00700000000000001,13.3925268110669,24.5436937960344,78462.9989891211,335948.63461839,75148.5750275779,0.545660605219528,0.219918400965154,15858.9765000518,330,2670,45,0,55543.742708347,0,15685.0978723378,229.770864587303,-15059.600999845,0,9707.70110733443,0,35,229.770864587303,65.0151049042291,166.236015415095,15.5722454032961,12.4577963226369,2918.2688661127,100981.466904899,4114.35490289628,22518.4679157781,602.846575075001,0.910067579508713,259,0.470241598607358,1.46339971763268,10.953091245141,9.66930128068519,53616.9291572978,9.15165326991574,219.56800048069,0.984399639470002,0.97911848001334,3000,0,395.726007905451,2638.17338603634,2.81818181818182,3,1,81,78858.7249970265,0.00501816391173422,6
0.0176666666666667,13.9155644127007,26.6552294624598,79076.3042384342,311956.899553519,83805.3854805852,0.522057573441597,0.234251606237404,16760.5309562667,371,2629,45,4,70832.7231491746,0,16043.8295112344,258.580641562319,-15288.9804408276,0,9241.46602392711,0,37,258.580641562319,58.3698303683875,158.337665176972,16.0426963523656,12.8341570818925,2788.47165089116,98791.1671147165,3706.25836306719,19714.8628762823,1034.50634779713,1.00542048671003,319,0.393842820059423,1.65667555174644,13.2073166193049,10.1401894420192,47731.9195995095,8.39969202058372,253.360628624072,0.958639801058086,0.953120175570508,3000,0,496.268428844437,3308.45619229624,3.37196765498652,4,1,114,79572.5726672786,0.00623667693791318,7
0.0253333333333333,14.542958625774,28.4210423323344,79893.050038867,287984.44553059,91663.5207898747,0.511696877817483,0.253716009600618,17649.9013253126,406,2594,45,10,86334.9685275669,0,16382.986885638,286.41409820122,-15502.2453783923,0,9491.6665032788,0,40,286.41409820122,51.8263781942664,150.982425305786,16.3336101368048,13.0668881094438,2662.22516053522,95942.2667380058,3375.74764556939,16049.2166991388,1370.21518366429,1.08757797108366,363,0.351408564063126,1.82098313626063,9.91790965593571,10.415659923485,43873.5804016981,7.98632251786682,256.044539013273,0.976667888457147,0.96980598255216,3000,0,594.3274090445,3962.18272696333,3.9384236453202,4,1,155,80487.3774479116,0.00738410702260894,8
0.02,15.1665956973684,31.1643740370882,83551.900308061,262219.549065022,101802.884262806,0.486664538145988,0.271734641952748,19768.9231639121,443,2557,45,8,102696.999218993,0,17475.7443041601,418.034491860175,-16362.0306914264,0,9510.80506101856,0,57,418.034491860175,45.6168063146272,141.77553088178,16.8316530026275,13.465322402102,2757.367594547,93610.6342397983,3003.77072000207,10058.7339317373,1871.69581027205,1.15816081318862,417,0.32880109826755,2.0218457477301,11.0304487433057,9.02128568403993,41324.5671198526,7.50136142403332,268.667752287718,0.963055426455854,0.958001920674993,3000,0,695.679120873476,4637.86080582317,4.48081264108352,5,1,208,84247.5794289344,0.00825755618842799,9
0.0113333333333333,15.8624796452267,33.8593185715282,84643.5143771347,238414.440792335,111308.611812377,0.468481951629268,0.290484526176027,22943.4395510971,478,2522,45,10,119406.813621545,0,17934.9601795043,429.738410776175,-16709.814402552,0,9626.01205623872,0,57,429.738410776175,39.9821093741475,132.68973245403,17.6479172446388,14.1183337957111,2798.35992333638,91938.3405375042,2715.30392270841,7294.82616036947,2477.1770976325,1.21795685789604,447,0.293156600026062,2.16275896147927,6.96953335373753,8.94663712503929,39136.8228659382,7.33437240476263,303.618471926985,0.965225845003913,0.959577317094463,3000,0,795.407366176084,5302.71577450723,5.01673640167364,5.5,1,271,85438.9217433108,0.00930966063178762,10
