"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,63927.17,61149.29,48.9002,0,1,323,16.7834,0,0,5
2,62183.58,47813.4,69.9107,0,1,438,16.1638,0,0,4
3,63323.39,32254.56,62.4262,0,1,628,16.9041,0,0,54
4,46333.92,52566.47,65.0448,0,1,289,17.4453,0,0,3
5,27656.69,77515.08,99.1033,0,1,922,19.0164,0,0,45
6,64443.87,66241.88,76.1593,0,1,776,19.3138,6,0,3
7,36375,64594.25,73.7402,0,1,619,18.5855,0,0,14
8,54218.38,40691.26,118.2367,0,1,9,17.4457,8,0,6
9,54653.99,40845.81,37.1632,0,1,9,17.4457,9,0,4
10,68561.78,46953.05,27.779,0,1,1261,18.9903,0,0,60
11,28820.27,70521.92,91.557,0,1,11,19.5034,11,0,8
12,67479.92,16762.35,45.3472,0,1,1335,16.2424,0,0,28
13,60407.66,68674.83,51.7825,0,1,1241,17.6927,0,0,20
14,68043.13,42719.72,54.7936,0,1,1413,19.4769,0,0,13
15,59818.46,57881.24,30.529,0,1,777,16.6931,0,0,16
16,59071.91,46804.78,166.578,0,1,16,19.6667,16,0,5
17,30496.25,83932.41,51.6404,0,1,1418,16.2696,0,0,31
18,58715.69,73556.93,53.1266,0,1,958,16.2971,0,0,15
19,25355,70304.54,100.8315,0,1,705,17.3521,0,0,5
20,52456,25359.2,88.9577,0,1,464,15.3417,0,0,53
21,42920.34,57089.22,95.2256,0,1,763,21.9482,21,0,2
22,66887.81,67381.74,61.7955,0,1,776,19.3138,0,0,10
23,67725.55,17513.97,50.0464,0,1,825,20.9069,0,0,15
24,69925.11,23157.3,77.9584,0,1,1130,20.2827,0,0,58
25,68083.58,48164.04,46.5319,0,1,1261,18.9903,0,0,7
26,26206.2,84787.99,117.9223,0,1,1027,17.6478,0,0,20
27,21100.63,73992.46,25.2066,0,1,547,21.2169,0,0,32
28,54134.64,43724.45,74.9947,0,1,152,18.3309,0,0,8
29,32075.19,68870.53,30.4095,0,1,642,16.9344,0,0,6
30,70749.51,21614.3,73.3419,0,1,30,19.1946,30,0,2
31,54451.92,29333.76,65.3581,0,1,1499,19.5342,0,0,35
32,21024.29,84108.92,64.7363,0,1,1056,26.7257,0,0,12
33,25188.06,76840.43,44.4844,0,1,547,21.2169,0,0,4
34,58121.57,73147.93,106.9387,0,1,1466,21.3638,0,0,18
35,64983.82,46449.99,71.7851,0,1,676,22.1294,0,0,11
36,22064.99,85726.57,125.6706,0,1,1056,26.7257,0,0,15
37,59798.48,28622.85,64.6171,0,1,1081,21.8014,0,0,4
38,57942,37082.73,92.33,0,1,757,14.8062,0,0,6
39,68349.26,17168,51.6008,0,1,1092,21.4346,0,0,39
40,57613.83,33697.27,52.51,0,1,1231,19.8832,0,0,9
41,63657.86,64604.85,69.0875,0,1,777,16.6931,0,0,19
42,68600.58,47630.84,69.0032,0,1,1261,18.9903,0,0,28
43,56306.65,32964.93,87.0034,0,1,662,19.9844,0,0,8
44,65928.9,56183.74,52.1728,0,1,956,21.6477,0,0,35
45,60591.06,18430.54,63.5387,0,1,327,19.7825,0,0,10
46,56682.88,18301,59.561,0,1,1090,21.8641,0,0,4
47,62241.72,66008.51,85.8906,0,1,776,19.3138,0,0,21
48,65260.18,59307.02,123.0431,0,1,1232,19.6202,48,0,4
49,42011.01,58958.56,65.0769,0,1,874,20.9107,0,0,12
50,21499.8,86970.07,89.098,0,1,1279,15.5529,0,0,2
51,29760.18,76209.09,48.5917,0,1,1111,15.0473,0,0,5
52,61757.73,19435.72,98.5268,0,1,327,19.7825,0,0,17
53,47376.77,51110.51,49.986,0,0,0,8.3533,0,1,0
54,58463.16,47301.81,50.6034,0,1,16,19.6667,0,0,66
55,68872.25,16444.28,78.0874,0,1,1335,16.2424,0,0,30
56,43225.2,57245.79,177.5625,0,1,204,13.0558,0,0,14
57,69221.64,44214.62,90.9025,0,1,905,9.987,0,0,7
58,26151.33,84872.05,94.41,0,1,1027,17.6478,0,0,12
59,55378.32,28713.01,90.6086,0,1,99,18.2922,0,0,25
60,58194.01,67278.7,112.9512,0,1,60,9.2258,60,0,5
61,45987.43,53498.77,120.8761,0,1,346,25.0374,0,0,21
62,53667.17,23497.45,128.5744,0,1,338,16.2662,0,0,32
63,24536.35,83042.75,81.681,0,1,100,23.3299,0,0,28
64,65548.54,55017.96,30.4012,0,1,956,21.6477,0,0,51
65,54169.52,32267.45,56.5036,0,1,1048,15.8047,0,0,18
66,62411.54,18028.2,68.3399,0,1,327,19.7825,0,0,15
67,28418.93,73876.35,58.3736,0,1,11,19.5034,0,0,22
68,63108.25,45669.66,49.5861,0,1,212,18.1574,0,0,71
69,54371.62,28451.17,54.2476,0,1,99,18.2922,0,0,29
70,63505.59,42057.23,35.4229,0,0,0,8.3533,0,1,0
71,31809.27,71004.98,106.646,0,1,843,20.432,0,0,18
72,42949.09,56991.58,84.864,0,1,763,21.9482,72,0,1
73,65431.65,18784.48,78.3907,0,1,73,13.3549,73,0,3
74,53572.65,45883.64,38.5028,0,1,1294,17.8425,0,0,33
75,48464.11,51534.15,103.1573,0,1,326,14.6734,0,0,32
76,54636.27,26378.65,44.1177,0,0,0,8.3533,0,1,0
77,36696.13,61798.12,92.8184,0,1,77,22.1208,77,0,6
78,62830.07,66325,86.3174,0,1,788,13.6652,0,0,21
79,65270.09,62294.48,75.9085,0,1,1063,18.7911,0,0,10
80,39303.42,63967.92,145.6874,0,1,343,17.8292,80,0,2
81,16115.05,74576.64,71.858,0,1,81,10.6253,81,0,1
82,54711.92,29684.37,127.3272,0,1,1499,19.5342,0,0,30
83,43416.71,56402.84,141.8804,0,1,883,15.081,0,0,91
84,52026.22,44119.54,94.247,0,1,792,18.3669,84,0,3
85,32182.99,71932.89,91.4984,0,1,1194,16.9619,0,0,9
86,23158.39,80428.81,85.2072,0,1,1398,17.4489,0,0,16
87,51215.63,45544.72,51.513,0,1,813,17.2807,0,0,13
88,62825.75,18291.87,53.9178,0,1,733,18.9647,0,0,4
89,43795.12,58676.01,120.0343,0,1,874,20.9107,0,0,19
90,73155.24,25342.4,100.97,0,1,404,20.7548,0,0,3
91,56182.28,29010.3,94.706,0,1,227,20.6017,0,0,44
92,54934,40360.46,73.375,0,1,911,21.3877,0,0,14
93,60532.3,69308.55,39.8092,0,1,1201,16.1044,0,0,163
94,57862.84,27294.74,56.7696,0,1,1445,21.6896,0,0,8
95,65123.93,62167.6,87.3641,0,1,1063,18.7911,0,0,79
96,52999.84,25885.69,43.3689,0,1,1082,20.3809,0,0,7
97,20907.71,82180.49,82.3379,0,1,100,23.3299,0,0,32
98,58306.42,35003,53.763,0,1,662,19.9844,0,0,13
99,53627.14,27813.49,152.3594,0,1,99,18.2922,99,0,9
100,21152.62,84763.04,194.2019,0,1,100,23.3299,100,0,19
101,58815.3,70130.12,81.5861,0,1,1241,17.6927,0,0,17
102,22498.78,86757.19,114.5915,0,1,1016,20.566,0,0,39
103,64283.22,35483.67,12.3995,0,1,1208,18.799,0,0,5
104,61175.64,69458.21,85.5014,0,1,455,23.0629,0,0,21
