"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,53921.17,44194.03,174.7634,0,1,827,18.956,1,0,7
2,54121.98,44068.18,235.5101,0,1,2,20.39,2,0,9
3,55056.73,67398.04,175.3649,0,1,586,18.4466,0,0,73
4,52711.63,35512.36,100.185,0,1,47,19.5059,0,0,41
5,53921.01,29778.03,129.484,0,1,636,19.6574,0,0,65
6,18981.13,75937.86,103.948,0,1,1017,15.9675,0,0,36
7,22426.61,81619.14,81.4853,0,1,1408,16.4417,0,0,12
8,28732.44,71587.11,124.999,0,1,1017,15.9675,0,0,44
9,25435.06,85402.51,140.8427,0,1,736,14.6604,0,0,26
10,22773.29,85502.2,101.5963,0,1,570,14.2921,0,0,15
11,48298.44,49234.14,198.449,0,1,89,17.48,0,0,14
12,63442.81,18206.3,144.7397,0,1,1492,19.8487,0,0,66
13,57257.23,37835.01,87.4535,0,1,1030,19.567,0,0,20
14,51917.05,46946.74,130.2214,0,1,1414,18.5619,0,0,47
15,65097.23,57272.6,123.5149,0,1,437,19.054,0,0,30
16,66683.72,53416.68,179.6357,0,1,16,19.3648,16,0,21
17,49520.05,41876.23,103.9279,0,1,1142,19.3271,0,0,19
18,53221.61,23742.31,111.473,0,1,652,19.652,0,0,21
19,64028.39,55207.09,34.2647,0,1,437,19.054,0,0,24
20,53880.89,30288.56,147.133,0,1,1119,20.1865,0,0,50
21,62282,63871.78,127.6737,0,1,842,18.5721,0,0,28
22,66134.71,54419.01,116.631,0,1,1468,19.6631,0,0,69
23,52994.7,42769.48,197.0053,0,1,1,18.5294,0,0,214
24,51131.43,37807.37,100.7655,0,1,1006,20.394,0,0,26
25,63354.16,65675.41,187.2892,0,1,783,17.8489,0,0,143
26,47837.49,55888.03,63.9246,0,1,719,17.8633,0,0,12
27,60384.73,68019.1,156.5195,0,1,1011,18.4131,0,0,124
28,23778.44,83619.62,115.7787,0,1,906,14.9005,0,0,20
29,67160.26,47311.36,143.8299,0,1,465,20.2499,0,0,21
30,62449.56,31308.98,98.8681,0,1,92,18.9808,0,0,21
31,54646.18,45205.08,142.6919,0,1,1142,19.3271,0,0,30
32,53211.43,23624.78,169.6684,0,1,550,19.868,0,0,38
33,66043.97,66148.4,130.1234,0,1,847,18.4551,0,0,63
34,35859.82,63147.82,122.4785,0,1,432,14.9315,0,0,30
35,36137.13,62850.53,158.363,0,1,352,14.5998,0,0,132
36,24428.32,76415.96,117.5007,0,1,36,15.7837,36,0,5
37,24550.57,76710.34,163.4175,0,1,36,15.7837,37,0,4
38,28900.22,74550.22,211.1537,0,1,680,13.8477,0,0,14
39,72634.1,22208.33,89.9342,0,1,999,19.7492,0,0,15
40,65716.34,29052.2,92.3145,0,1,1108,20.1414,0,0,148
41,65983.95,57486.17,106.3184,0,1,295,18.947,0,0,35
42,30536.41,74556.88,167.9761,0,1,1017,15.9675,0,0,23
43,53195.84,67541.61,121.2148,0,1,1133,18.0586,0,0,10
44,53393.26,29331.61,105.4353,0,1,1296,18.7318,0,0,59
45,27272.71,71910.61,113.461,0,1,1500,14.1254,0,0,10
46,48327.65,51245.65,138.7866,0,1,1005,19.9402,0,0,36
47,55206.73,33297.57,261.7709,0,1,636,19.6574,47,0,22
48,69720.3,46167.8,39.6922,0,1,784,20.0872,0,0,31
49,27938.16,73318.3,121.8963,0,1,1017,15.9675,0,0,21
50,30440.07,71892.39,133.9765,0,1,628,14.6575,0,0,21
51,22084.25,85907.69,122.5744,0,1,1373,14.6501,0,0,10
52,68531.44,42807.34,131.4831,0,1,1391,21.3009,0,0,18
53,63683.07,35371.91,143.4702,0,1,758,20.6084,0,0,13
54,23053.73,84903.08,99.0361,0,1,570,14.2921,0,0,23
55,50895.74,44646.25,146.2531,0,1,837,18.4895,0,0,69
56,23150.68,81962.15,176.801,0,1,736,14.6604,0,0,86
57,58496.56,34520.57,126.9561,0,1,47,19.5059,0,0,100
58,67623.52,46832,120.9399,0,1,465,20.2499,0,0,32
59,25560.53,79804.93,116.7891,0,1,1254,16.0625,0,0,35
60,50337.51,47723.61,134.1349,0,1,651,19.3233,0,0,25
61,70896.15,16967.91,110.8555,0,1,80,19.3424,0,0,27
62,69572.91,16064.3,1395.5401,0,1,144,19.2017,62,0,46
63,29211.29,74478.87,159.699,0,1,1003,14.3434,0,0,19
64,62411.46,65952.52,153.8208,0,0,0,18.4981,0,1,0
65,48797.42,50268.48,104.3027,0,1,837,18.4895,0,0,21
66,53320.57,24975.35,102.1274,0,1,357,19.0622,0,0,29
67,25608.03,85240.42,162.8513,0,1,250,14.791,0,0,23
68,60793.98,47470.56,150.1799,0,1,679,20.3188,0,0,52
69,69010.45,47401.92,66.5672,0,1,1428,19.5259,0,0,36
70,52696.01,60600.58,89.6109,0,1,1231,17.8872,0,0,64
71,73645.3,24820.15,84.6677,0,1,977,19.6539,0,0,13
72,71637.83,24353.2,142.1588,0,1,977,19.6539,0,0,24
73,64401.53,35382.88,133.884,0,1,124,20.1578,0,0,64
74,64565.19,34569.68,123.7946,0,1,894,20.73,0,0,21
75,60100.72,28400.04,129.9127,0,1,1188,20.1324,0,0,27
