"hh_id","x","y","M","L","employed","firm_id","wage","firm_owner","unemp_spells","emp_spells"
1,27756.93,77609.68,128.8203,0,1,449,20.4223,0,0,34
2,35252.21,64292.3,117.6406,0,1,1494,22.6248,0,0,24
3,70345.8,17463.75,57.9333,0,1,535,23.5515,0,0,26
4,56436.72,34117.92,77.8372,0,1,114,17.2985,0,0,56
5,63592.63,66877.82,68.1331,0,1,26,13.8796,0,0,48
6,72416.2,22431.42,43.7155,0,1,101,21.5054,0,0,26
7,36929.16,65040.32,91.563,0,1,1282,22.0804,0,0,9
8,60053.2,71609.8,59.1334,0,1,721,19.9066,0,0,12
9,40782.05,62001.84,82.3321,0,1,9,19.7098,9,0,3
10,61272.55,19040.76,39.6399,0,1,1498,17.5717,0,0,17
11,29262.96,70611.34,54.8249,0,1,738,23.5702,0,0,17
12,62145.44,18658.16,76.4503,0,1,1375,23.8034,0,0,24
13,63498.89,63573.41,110.7256,0,1,45,22.5796,0,0,14
14,68052.85,47700.17,31.2505,0,0,0,8.5205,0,1,0
15,26232.99,80008.06,49.0335,0,1,628,18.5462,0,0,8
16,26082.56,85488.59,56.9679,0,1,459,19.8268,0,0,50
17,42720.04,58478.83,80.3596,0,1,47,12.2213,0,0,15
18,68421.41,46207.2,63.9783,0,0,0,8.5205,0,2,0
19,56002.76,32413.96,86.4101,0,1,539,19.4528,0,0,51
20,34265.8,65219.33,129.3445,0,1,1494,22.6248,0,0,7
21,59377.64,39278.77,46.6828,0,1,656,16.2645,0,0,38
22,63235.55,62664.77,38.8039,0,1,918,19.0994,0,0,15
23,59503.46,50572.53,29.224,0,1,1075,16.2723,0,0,22
24,45015.19,54917.75,110.0328,0,1,739,18.4654,0,0,14
25,56938.38,37039.09,34.351,0,1,255,17.2723,0,0,30
26,63268.19,65747.29,38.5689,0,1,821,20.8989,26,0,5
27,26881.28,74535.84,55.587,0,1,478,20.3872,27,0,4
28,25439.64,69890.45,47.1719,0,1,701,21.2166,0,0,2
29,68827.42,43866.55,87.6826,0,1,1437,17.5224,0,0,87
30,68307.22,46631.24,52.1898,0,1,206,18.958,0,0,19
31,73307.99,26744.73,55.7165,0,1,707,22.227,0,0,49
32,57379.79,33110.41,98.6091,0,1,1106,16.4113,0,0,9
33,53336.44,29053.51,152.3038,0,1,1150,21.5334,0,0,26
34,60501.78,19233.9,57.3569,0,1,1498,17.5717,0,0,50
35,60779.89,22052.39,35.2758,0,1,390,20.8192,0,0,1
