"unemp","wage","price","gdp","hM","fM","rw","gini_hh","total_loans","n_open","n_vacant","n_openings","n_exits","lg_M","lg_L","lg_tax","lg_transfer","lg_deficit","lg_interest","lg_debt_repay","owner_pay_total","m_dist_total","n_transfer_recip","transfer_total","mean_M_bot30","mean_M_top30","median_wage_t","income_thresh_t","supply","nom_demand","real_demand","unmet_nom","inventory_total","avg_mu","n_hiring","utilisation","price_index","inflation","inflation_ma5","gdp_real","real_wage_index","inv_total","avg_a","avg_a_weighted","n_hh","n_births","lg_g_spend","tax_rev_smooth","mean_firm_age","med_firm_age","share_young_firms","g_n_firms_served","total_demand_nom","g_share_demand","bank_NW","bank_R","bank_new_loans","bank_dep_int_total","bank_loan_int_total","bank_profit","bank_dividend","bank_bad_debt","bank_headroom","total_M","sfc_check","period"
0.96,9.47478427139336,13.0127929224991,0,45314.8979707797,-22.053284734077,0.728113044434258,0.0990035561923634,345.742518182939,30,1470,0,0,96510.3477661903,142863.157771898,56.8160766979358,2,674.077585403584,728.89366210152,2915.57464840608,0,0,1,2,24.0319350226612,36.2876726136809,9.20189620360662,7.36151696288529,59.994274343202,5014.22644901043,385.330534257627,5014.22644901043,59.994274343202,0.374,0,0,1,0,0,0,9.47478427139336,0,0.999904572386701,0.999904572386701,1500,0,0,2.84080383489679,0,0,1,0,0,0,1397.07893585178,32.6679239395889,69.9960615959031,145.309097058478,732.940897777185,587.631800718708,0,0,17117.7441799644,141803.192452236,32.6679239395889,1
0.542,11.1012415090343,16.1695197773406,914.191873640066,54518.1698538675,60.2959707294966,0.686553568807355,0.114271046351529,7087.37087999244,105,1395,75,0,90337.2854693969,140005.89461646,813.449891034059,3511.44359129628,3412.30948912172,714.31578885949,2857.26315543796,48.4036830165837,0,848,3511.44359129628,27.8995899594696,44.8468639683913,11.1198839838354,8.89590718706831,687.143588820233,11721.1424625231,724.891191818124,10806.9505888831,687.143588820233,0.457592435861871,6,0.0714030579678245,1,0,0,914.191873640066,11.1012415090343,0,1.00026185436851,1.00020900847196,1500,0,0,43.3712581948549,0.285714285714286,0,1,0,914.191873640066,0,1985.88728844455,487.764406156843,6607.40388452457,148.410596336761,737.218948929524,588.808352592764,0,0,17736.2202255644,144915.751293994,487.764406156843,2
0.44,11.2735611790814,16.03610410324,10209.2124714095,58682.5246621714,6891.98108393991,0.70301122432871,0.137281089070449,15737.1796274808,142,1358,37,0,84783.8464621271,137205.776724131,1877.54463210421,4008.16218197347,2843.65840041002,700.0294730823,2800.1178923292,997.086105157698,0,801,4008.16218197347,28.6738533228631,50.5633443919148,11.4464293852583,9.15714350820663,660.848556519662,17569.0028321003,1095.59047004132,7359.79036069078,673.004097754822,0.4226511763283,13,0.761443022310855,1.00871818858024,0.871818858023565,0.818603255659853,10120.9758949414,11.1761256084307,0,1.00051809940946,1.00028106059639,1500,0,13.0113774584565,135.079926890322,0.950704225352113,1,1,7,10222.223848868,0.00127285194012821,2317.69996864629,-0.746068216249114,9063.64414859916,153.979395442593,817.60475584607,663.625360403477,331.812680201739,0,13234.0699805978,150358.352208238,-0.746068216249114,3
0.16,11.7204955853448,16.8095631433535,11439.438801737,64612.9044603301,8810.38164142511,0.697251646898334,0.164456424361685,23233.0915269263,179,1321,37,0,81178.2182432735,134461.661189648,1866.36808631805,2086.11175546332,946.296530833022,686.028883620654,2744.11553448262,385.235869090638,0,405,2086.11175546332,29.0524944333989,57.9432269259047,11.8688856918165,9.49510855345324,1256.11613396475,21426.3125037082,1274.65016913185,9986.87370197115,1265.1774737362,0.437585024246473,32,0.454996300433807,1.04890370008865,3.98381946150648,0.80788918578683,10906.0906170606,11.1740435126258,0,1.00015539243228,0.999862310584615,1500,0,40.5239780670967,221.644334861709,1.54748603351955,2,1,5,11479.9627798041,0.00352997469106674,2706.47959799795,-56.1572303620342,8132.89997812502,158.491252186363,936.050510889696,777.559258703332,388.779629351666,0,10597.9034480481,154601.504345029,-56.1572303620342,4
0.082,11.9572606227331,17.064553469618,16912.2142318899,65735.801230017,13085.7262971203,0.700707501313878,0.185086448644783,28840.4680115593,186,1314,37,30,78748.4539910536,131772.427965855,2458.92421634015,1541.8380090631,-178.290753329755,672.308305948241,2689.23322379296,830.902639009439,0,286,1541.8380090631,27.5334364386089,60.5811784437478,12.3754195249861,9.90033561998892,1368.86671703053,23590.1265901367,1382.40514948937,6677.91235824678,1434.92401367028,0.437837350433423,65,0.587807942066,1.04090452928049,-0.762622041230776,0.794622160157721,16247.6132595755,11.4873749574309,0,1.00014909632572,1.00010379390934,1500,0,66.4871479990545,333.508328935631,1.80645161290323,2,1,34,16978.701379889,0.00391591479886722,2511.70106571001,-201.94264583441,10618.7153039275,161.642890949036,973.690913842633,812.048022893597,406.024011446798,600.802543734737,2555.79530981586,157569.981518191,-201.94264583441,5
0.024,12.1346982677445,17.0238399109901,20382.1922649783,67035.7535153299,16890.1252790169,0.712806178347031,0.192852379439996,35958.7395456615,223,1277,37,0,77480.3724975345,129136.979406538,3038.80162333438,991.271103951391,-1288.61861180692,658.862139829276,2635.4485593171,1600.69446048115,0,178,991.271103951391,27.5525524865071,62.7144012426099,13.2058018724565,10.5646414979652,1450.71091499665,25345.6383226554,1488.83204113621,4963.44605767707,1716.42295807959,0.439282877143526,123,0.530347575891468,1.0403469130876,-0.0535703493651174,0.342697294889289,19591.7265755968,11.6640883104372,0,1.00027882386013,1.00011223669489,1500,0,100.049767746787,468.772993655568,2.34080717488789,3,1,77,20482.2420327251,0.00488470781601615,2982.92700755203,-445.670086263213,8202.48153600925,165.7724630542,1108.22434673823,942.451883684028,471.225941842014,0,1327.84804873886,161406.251291881,-445.670086263213,6
0.0573333333333333,12.4060207053979,18.0168860400926,17744.6709965964,66016.7938684419,5769.33626107966,0.688577408870272,0.222236826437625,20855.9898062643,188,1312,37,72,75417.1988966723,126554.239818407,2621.12421360753,1392.72357845837,-442.085614771019,645.684897032691,2582.73958813076,860.686533322908,0,226,1392.72357845837,24.0891078385797,63.884203656678,13.2026640726022,10.5621312580818,1380.80980891299,25089.4239565109,1392.55051625903,7344.75295991456,1570.93771923119,0.485147098163773,97,0.468611567222956,1.03965679762964,-0.0663351281455449,-0.568902878849307,17067.8160687769,11.9328039153718,0,0.999799296428983,0.999795202987828,1500,0,140.630123345453,576.390554653166,2.04787234042553,2,1,48,17885.3011199418,0.00786288821207786,-766.617483017411,2729.68839254283,0,159.988278964394,965.391201790409,805.402922826015,0,4554.94741339545,0,147203.329026194,2729.68839254283,7
0.0620000000000001,12.4294649656728,18.1937910498918,18431.9311020419,66179.2213080854,-701.553081145225,0.683170699915603,0.237174689547798,13881.0376900716,187,1313,37,38,73707.8017813631,124023.155022039,2788.55617862786,1236.59774640932,-746.270482162294,632.771199092037,2531.08479636815,1013.2702079657,0,211,1236.59774640932,22.7092843887832,65.3414068750482,13.2177407897071,10.5741926317657,1346.15575062961,25189.1113485078,1384.4894271586,6757.18024646593,1544.20065733853,0.501655420853173,94,0.492975771375443,1.02522838374039,-1.38780546831859,-0.603950172444656,17978.3659859238,12.1236059816504,0,0.999809945558485,0.999898925296873,1500,0,172.916750964214,686.998835851901,2.03743315508021,2,1,49,18604.8478530061,0.00929417710536528,-2271.66313346982,5761.28330020132,0,158.376439076331,845.023085379595,686.646646303264,0,2191.69229675568,0,139185.470008303,5761.28330020132,8
0.0639999999999999,12.309563438738,18.1227916031695,19291.1385550711,65423.0827730391,-5314.66473781227,0.679231086925103,0.252804032323213,7774.10576957165,188,1312,37,36,72145.6631241913,121542.691921598,2854.11539435265,1183.28332699926,-844.616641487626,620.115775110196,2480.46310044078,1130.60189716373,0,200,1183.28332699926,21.4156525774087,66.3604471745284,13.1925921700453,10.5540737360362,1343.42091497865,25039.7311929216,1381.67075697887,5748.59263785054,1518.93312784055,0.519870227853344,83,0.50309426971839,1.01934171297976,-0.574181407186503,-0.300683035691283,18925.0948032715,12.0759930472721,0,0.999947863013799,1.00009525537603,1500,0,206.09965075557,795.354663776939,2.06382978723404,2,1,53,19497.2382058267,0.0105707099938892,-3742.13749988302,7847.01148322616,0,156.56876555638,738.835136369654,582.266370813274,0,2052.74073722647,0,132254.081159418,7847.01148322616,9
0.0553333333333333,12.2362287226499,18.1349290223988,18164.923062665,65192.2142545306,-10396.5562642956,0.674732650320092,0.265460969566281,2368.69808829675,187,1313,37,38,70735.7878148018,119111.838083166,2752.11369299452,956.969649706336,-948.832865918248,607.713459607992,2430.85383843197,998.34946975569,0,162,956.969649706336,20.3289973421556,67.5602532150202,12.7357179739137,10.188574379131,1353.13851085084,24817.8925370081,1368.51335378016,6652.96947434313,1506.27353161462,0.534033892695385,78,0.477853596517166,1.00978172998667,-0.937858509207523,-0.293054709329956,17988.9599140447,12.1176966856108,0,0.999983316347339,1.00025211030871,1500,0,238.597717761948,893.192615237818,2.05882352941176,2,1,45,18403.5207804269,0.01296478649975,-4772.65252154863,10778.6371943832,0,153.928814691092,643.483392447402,489.55457775631,0,1520.06959942192,0,125531.445805037,10778.6371943832,10
